ITEM1;ITEM2;ITEM3;ITEM4;ITEM5;ITEM6;ITEM7;ITEM8;ITEM9;ITEM10;ITEM11
Queso;Pan;Azucar;Dulce de leche;Leche;Cafe Instantaneo;;;;;
Mantequilla;Mermelada;Azucar;;;;;;;;
Azucar;Yogur;Cafe Instantaneo;Mantequilla;Dulce de leche;;;;;;
Jamon;Mermelada;;;;;;;;;
Dulce de leche;Pan Molde;Mermelada;Cafe Instantaneo;Azucar;Mantequilla;;;;;
Te en bolsa;Mantequilla;Azucar;;;;;;;;
Te en bolsa;Cafe Instantaneo;Queso;Leche;Pan Molde;;;;;;
Jamon;Pan Molde;Mantequilla;Cafe Instantaneo;;;;;;;
Mantequilla;Azucar;Pan Molde;Jamon;;;;;;;
Leche;Queso;Jamon;Cafe Instantaneo;Dulce de leche;;;;;;
Jamon;Te en bolsa;Pan Molde;Yogur;Cafe Instantaneo;Pan;Queso;Mermelada;;;
Mantequilla;Jamon;Cafe Instantaneo;Dulce de leche;Pan Molde;;;;;;
Pan Molde;Queso;Jamon;Pan;Mermelada;Leche;Dulce de leche;Azucar;;;
Mermelada;Yogur;Cafe Instantaneo;Jamon;;;;;;;
Cafe Instantaneo;Yogur;Mermelada;Queso;Pan;;;;;;
Pan Molde;Te en bolsa;Jamon;Mantequilla;Dulce de leche;;;;;;
Leche;Dulce de leche;Mantequilla;Queso;Te en bolsa;Jamon;;;;;
Te en bolsa;Pan Molde;Cafe Instantaneo;Queso;Mantequilla;Azucar;Dulce de leche;Leche;;;
Dulce de leche;Pan;Cafe Instantaneo;Queso;Yogur;Mermelada;Te en bolsa;Leche;;;
Yogur;Leche;Pan;Mantequilla;Pan Molde;Queso;Dulce de leche;;;;
Yogur;Leche;Mantequilla;;;;;;;;
Te en bolsa;Pan;Dulce de leche;Queso;;;;;;;
Jamon;Te en bolsa;;;;;;;;;
Pan;Jamon;Queso;Mantequilla;Yogur;;;;;;
Cafe Instantaneo;Te en bolsa;Dulce de leche;Pan;Leche;Pan Molde;Mermelada;;;;
Yogur;Pan Molde;Queso;Azucar;Mantequilla;;;;;;
Leche;Yogur;Te en bolsa;Pan Molde;Dulce de leche;Queso;Pan;;;;
Leche;Cafe Instantaneo;Queso;Jamon;Mermelada;Azucar;Te en bolsa;Dulce de leche;;;
Azucar;Mantequilla;Te en bolsa;Cafe Instantaneo;Pan;Leche;Pan Molde;;;;
Mermelada;Te en bolsa;Dulce de leche;;;;;;;;
Pan Molde;Jamon;Leche;Te en bolsa;Mermelada;;;;;;
Leche;Jamon;Dulce de leche;Azucar;Pan;Mantequilla;;;;;
Azucar;Leche;Pan;;;;;;;;
Mantequilla;Leche;Te en bolsa;Yogur;Mermelada;;;;;;
Mantequilla;Pan;Queso;Cafe Instantaneo;;;;;;;
Queso;Mermelada;Cafe Instantaneo;Yogur;Pan;Te en bolsa;Mantequilla;;;;
Yogur;Cafe Instantaneo;Azucar;Leche;;;;;;;
Mermelada;Pan;Te en bolsa;Mantequilla;Jamon;Queso;;;;;
Pan;Mantequilla;Leche;Jamon;Azucar;Queso;Dulce de leche;Mermelada;Yogur;;
Mantequilla;Jamon;Leche;;;;;;;;
Te en bolsa;Jamon;Mantequilla;Azucar;;;;;;;
Jamon;Dulce de leche;Queso;Pan Molde;Azucar;Cafe Instantaneo;;;;;
Mantequilla;Queso;Pan Molde;Yogur;Mermelada;;;;;;
Leche;Azucar;Queso;Dulce de leche;Jamon;;;;;;
Azucar;Queso;Mantequilla;Mermelada;Cafe Instantaneo;Jamon;;;;;
Mermelada;Leche;Dulce de leche;;;;;;;;
Yogur;Pan Molde;Dulce de leche;Leche;Mermelada;Cafe Instantaneo;Pan;Mantequilla;;;
Azucar;Queso;Te en bolsa;Leche;Mermelada;Pan;Jamon;;;;
Azucar;Pan Molde;Queso;Mantequilla;;;;;;;
Pan;Queso;Yogur;Cafe Instantaneo;Azucar;Mantequilla;;;;;
Cafe Instantaneo;Azucar;Pan Molde;Te en bolsa;Mermelada;Queso;;;;;
Te en bolsa;Azucar;Dulce de leche;Yogur;Cafe Instantaneo;Mermelada;Queso;Jamon;;;
Mantequilla;Leche;Mermelada;Yogur;Cafe Instantaneo;Dulce de leche;Pan;Azucar;;;
Pan Molde;Te en bolsa;Azucar;Yogur;;;;;;;
Pan;Azucar;Cafe Instantaneo;Te en bolsa;Pan Molde;Queso;Yogur;;;;
Mantequilla;Leche;Cafe Instantaneo;Azucar;Mermelada;Jamon;Te en bolsa;;;;
Dulce de leche;Yogur;Pan;Te en bolsa;Cafe Instantaneo;Queso;;;;;
Mantequilla;Queso;Cafe Instantaneo;Pan;Te en bolsa;;;;;;
Leche;Mantequilla;Pan Molde;;;;;;;;
Leche;Pan Molde;Jamon;Mantequilla;Pan;Cafe Instantaneo;Mermelada;Azucar;;;
Cafe Instantaneo;Mantequilla;Pan;Pan Molde;Azucar;Jamon;Yogur;;;;
Yogur;Jamon;Mantequilla;Cafe Instantaneo;Te en bolsa;Pan;Leche;;;;
Cafe Instantaneo;Jamon;Leche;;;;;;;;
Pan Molde;Cafe Instantaneo;Te en bolsa;;;;;;;;
Queso;Te en bolsa;Yogur;Mermelada;;;;;;;
Queso;Pan Molde;Jamon;Te en bolsa;Azucar;Mantequilla;Pan;Leche;Mermelada;Dulce de leche;
Leche;Cafe Instantaneo;Mantequilla;Mermelada;Pan Molde;Te en bolsa;;;;;
Te en bolsa;Mantequilla;Leche;Azucar;Jamon;Pan Molde;Dulce de leche;Queso;Mermelada;;
Yogur;Cafe Instantaneo;Te en bolsa;Azucar;Jamon;;;;;;
Yogur;Pan;Azucar;Pan Molde;Cafe Instantaneo;Jamon;Mermelada;Queso;;;
Azucar;Te en bolsa;Mantequilla;Cafe Instantaneo;Yogur;;;;;;
Mermelada;Mantequilla;Pan;Queso;Pan Molde;;;;;;
Queso;Jamon;Dulce de leche;Yogur;Pan Molde;Leche;Mermelada;Te en bolsa;Mantequilla;;
Mermelada;Leche;;;;;;;;;
Azucar;Jamon;Leche;Pan;Cafe Instantaneo;Te en bolsa;Mermelada;;;;
Te en bolsa;Dulce de leche;Mantequilla;;;;;;;;
Cafe Instantaneo;Mantequilla;;;;;;;;;
Te en bolsa;Pan;Dulce de leche;Leche;Azucar;Jamon;Yogur;;;;
Pan Molde;Jamon;Mantequilla;Leche;Queso;Cafe Instantaneo;Te en bolsa;;;;
Te en bolsa;Leche;;;;;;;;;
Yogur;Te en bolsa;Azucar;Leche;Cafe Instantaneo;Dulce de leche;Jamon;Pan;;;
Mantequilla;Azucar;;;;;;;;;
Te en bolsa;Dulce de leche;Pan;Mantequilla;Yogur;;;;;;
Yogur;Azucar;Pan;;;;;;;;
Jamon;Mermelada;Queso;;;;;;;;
Pan;Leche;Cafe Instantaneo;;;;;;;;
Mermelada;Te en bolsa;;;;;;;;;
Leche;Mantequilla;;;;;;;;;
Pan Molde;Leche;Dulce de leche;Azucar;Mantequilla;Cafe Instantaneo;Mermelada;;;;
Mantequilla;Mermelada;Azucar;Queso;Jamon;Te en bolsa;Yogur;;;;
Cafe Instantaneo;Pan Molde;Mermelada;;;;;;;;
Azucar;Leche;Dulce de leche;Te en bolsa;Pan;Cafe Instantaneo;Jamon;;;;
Yogur;Pan;Te en bolsa;Pan Molde;;;;;;;
Mermelada;Te en bolsa;Jamon;Leche;Pan;;;;;;
Leche;Mantequilla;;;;;;;;;
Mermelada;Te en bolsa;Cafe Instantaneo;Azucar;;;;;;;
Mermelada;Queso;Pan Molde;Mantequilla;Dulce de leche;Leche;Te en bolsa;Yogur;;;
Yogur;Queso;Mantequilla;Dulce de leche;Cafe Instantaneo;Leche;Mermelada;;;;
Leche;Dulce de leche;Mermelada;;;;;;;;
Jamon;Pan Molde;Cafe Instantaneo;Yogur;Mantequilla;Azucar;Leche;Dulce de leche;;;
Cafe Instantaneo;Mermelada;Pan Molde;Mantequilla;Queso;Yogur;;;;;
Queso;Pan Molde;Mantequilla;Yogur;;;;;;;
Dulce de leche;Mantequilla;Te en bolsa;Yogur;Mermelada;;;;;;
Pan Molde;Pan;Azucar;Leche;Te en bolsa;;;;;;
Leche;Mantequilla;Yogur;Azucar;Pan Molde;Pan;;;;;
Te en bolsa;Cafe Instantaneo;Leche;Pan Molde;Mantequilla;Mermelada;;;;;
Mermelada;Mantequilla;Dulce de leche;Te en bolsa;Azucar;;;;;;
Cafe Instantaneo;Mermelada;Queso;;;;;;;;
Dulce de leche;Mermelada;Mantequilla;Cafe Instantaneo;Pan Molde;;;;;;
Azucar;Pan;Mantequilla;Queso;Leche;Jamon;Yogur;;;;
Mantequilla;Dulce de leche;Queso;Yogur;Leche;Azucar;Cafe Instantaneo;;;;
Azucar;Jamon;Yogur;;;;;;;;
Pan;Dulce de leche;;;;;;;;;
Dulce de leche;Mantequilla;Pan Molde;Yogur;Leche;Azucar;Cafe Instantaneo;Queso;Te en bolsa;;
Yogur;Cafe Instantaneo;Pan Molde;Queso;Azucar;;;;;;
Te en bolsa;Jamon;Pan;Yogur;Mermelada;Azucar;Leche;Queso;Mantequilla;;
Mermelada;Pan Molde;Pan;Jamon;Yogur;Azucar;;;;;
Azucar;Pan Molde;Te en bolsa;Mermelada;;;;;;;
Yogur;Queso;Pan;Cafe Instantaneo;Azucar;Te en bolsa;Jamon;;;;
Azucar;Cafe Instantaneo;Queso;;;;;;;;
Yogur;Queso;Jamon;Cafe Instantaneo;Leche;;;;;;
Dulce de leche;Cafe Instantaneo;Te en bolsa;Pan Molde;Queso;;;;;;
Pan Molde;Queso;Azucar;Te en bolsa;;;;;;;
Pan;Cafe Instantaneo;Leche;Pan Molde;Yogur;Mantequilla;Queso;;;;
Leche;Queso;Azucar;;;;;;;;
Te en bolsa;Dulce de leche;Pan;Pan Molde;Cafe Instantaneo;Jamon;Leche;;;;
Yogur;Te en bolsa;;;;;;;;;
Queso;Mantequilla;Cafe Instantaneo;Yogur;Pan;Dulce de leche;Pan Molde;;;;
Te en bolsa;Jamon;Mermelada;Azucar;;;;;;;
Queso;Dulce de leche;Cafe Instantaneo;Mermelada;Jamon;;;;;;
Jamon;Cafe Instantaneo;Leche;Queso;Mermelada;;;;;;
Dulce de leche;Te en bolsa;Pan Molde;Azucar;Mermelada;Queso;Pan;Cafe Instantaneo;;;
Leche;Azucar;Yogur;Te en bolsa;Queso;Cafe Instantaneo;;;;;
Pan Molde;Jamon;;;;;;;;;
Jamon;Azucar;Dulce de leche;Queso;Pan Molde;;;;;;
Te en bolsa;Queso;Cafe Instantaneo;Pan;Leche;Mantequilla;Pan Molde;Jamon;Yogur;;
Queso;Jamon;Azucar;;;;;;;;
Yogur;Cafe Instantaneo;Azucar;;;;;;;;
Te en bolsa;Pan;Yogur;Jamon;Cafe Instantaneo;;;;;;
Azucar;Dulce de leche;Queso;Leche;Cafe Instantaneo;Mermelada;;;;;
Dulce de leche;Pan;Pan Molde;Mantequilla;Leche;Jamon;Te en bolsa;Yogur;;;
Queso;Dulce de leche;Te en bolsa;Cafe Instantaneo;Yogur;Mantequilla;Mermelada;;;;
Jamon;Leche;Queso;Yogur;Dulce de leche;Mermelada;Mantequilla;;;;
Azucar;Pan Molde;Queso;Leche;Dulce de leche;Pan;Cafe Instantaneo;;;;
Pan Molde;Leche;Mermelada;Te en bolsa;;;;;;;
Yogur;Mermelada;Jamon;Dulce de leche;Leche;Cafe Instantaneo;;;;;
Mantequilla;Pan;Yogur;Azucar;Leche;;;;;;
Queso;Pan;;;;;;;;;
Dulce de leche;Yogur;;;;;;;;;
Mermelada;Cafe Instantaneo;Pan;Pan Molde;Leche;Yogur;;;;;
Dulce de leche;Yogur;Leche;Pan;Mantequilla;Azucar;Mermelada;Jamon;;;
Dulce de leche;Azucar;Mermelada;Cafe Instantaneo;Leche;Queso;;;;;
Te en bolsa;Pan;;;;;;;;;
Cafe Instantaneo;Leche;Yogur;Mermelada;Azucar;Dulce de leche;;;;;
Jamon;Dulce de leche;Mantequilla;Pan Molde;Queso;Yogur;;;;;
Leche;Cafe Instantaneo;Mermelada;Mantequilla;Yogur;;;;;;
Te en bolsa;Leche;;;;;;;;;
Queso;Mermelada;Dulce de leche;;;;;;;;
Dulce de leche;Jamon;Leche;Mantequilla;Te en bolsa;Pan Molde;Mermelada;;;;
Azucar;Queso;Te en bolsa;;;;;;;;
Azucar;Cafe Instantaneo;Queso;Yogur;;;;;;;
Pan;Queso;Azucar;Jamon;;;;;;;
Mermelada;Pan;Cafe Instantaneo;Te en bolsa;Pan Molde;;;;;;
Yogur;Jamon;Cafe Instantaneo;Azucar;Te en bolsa;Leche;;;;;
Queso;Cafe Instantaneo;Jamon;;;;;;;;
Azucar;Queso;Te en bolsa;Mermelada;Leche;Jamon;Yogur;;;;
Mermelada;Pan;Leche;Mantequilla;Cafe Instantaneo;Yogur;Pan Molde;;;;
Pan Molde;Leche;Queso;;;;;;;;
Mantequilla;Mermelada;Pan;Pan Molde;Azucar;Jamon;;;;;
Te en bolsa;Pan;Cafe Instantaneo;Mermelada;;;;;;;
Mermelada;Queso;Pan;Dulce de leche;;;;;;;
Jamon;Mermelada;Yogur;Dulce de leche;Azucar;Queso;Pan Molde;;;;
Te en bolsa;Queso;Cafe Instantaneo;Pan Molde;Yogur;;;;;;
Mermelada;Pan Molde;Azucar;Yogur;;;;;;;
Mermelada;Dulce de leche;Mantequilla;Leche;Azucar;Pan Molde;;;;;
Mermelada;Te en bolsa;Dulce de leche;Pan;Jamon;;;;;;
Pan;Yogur;Mermelada;Leche;Cafe Instantaneo;Jamon;;;;;
Dulce de leche;Te en bolsa;Yogur;Queso;Pan;Mermelada;Azucar;Mantequilla;;;
Pan;Cafe Instantaneo;Dulce de leche;Jamon;Azucar;;;;;;
Mermelada;Azucar;Mantequilla;Leche;Jamon;Pan;Dulce de leche;;;;
Queso;Yogur;Leche;Te en bolsa;;;;;;;
Leche;Cafe Instantaneo;;;;;;;;;
Pan;Te en bolsa;Leche;Mermelada;;;;;;;
Te en bolsa;Queso;Leche;Pan Molde;Dulce de leche;Pan;;;;;
Yogur;Cafe Instantaneo;Azucar;Pan;Pan Molde;Queso;;;;;
Dulce de leche;Leche;Te en bolsa;Pan Molde;Jamon;Azucar;Cafe Instantaneo;Mantequilla;;;
Queso;Mantequilla;Pan;Dulce de leche;;;;;;;
Yogur;Azucar;Mermelada;Te en bolsa;Mantequilla;Cafe Instantaneo;Leche;;;;
Yogur;Pan Molde;Mantequilla;Queso;Cafe Instantaneo;Mermelada;Te en bolsa;Azucar;;;
Pan;Azucar;;;;;;;;;
Dulce de leche;Cafe Instantaneo;Te en bolsa;Mermelada;Leche;;;;;;
Mantequilla;Pan;Mermelada;Queso;Te en bolsa;Leche;Dulce de leche;;;;
Jamon;Pan Molde;Cafe Instantaneo;Te en bolsa;Pan;;;;;;
Jamon;Mantequilla;Yogur;Queso;Pan;Azucar;;;;;
Queso;Cafe Instantaneo;Mermelada;Yogur;Pan;Te en bolsa;Pan Molde;Mantequilla;;;
Jamon;Pan;Cafe Instantaneo;Queso;Mermelada;Dulce de leche;Leche;;;;
Dulce de leche;Pan;Queso;Yogur;Mantequilla;;;;;;
Queso;Mermelada;Yogur;Pan Molde;Dulce de leche;;;;;;
Cafe Instantaneo;Pan Molde;Pan;Queso;Dulce de leche;Leche;Jamon;;;;
Azucar;Leche;Yogur;Mermelada;;;;;;;
Jamon;Azucar;Yogur;Leche;Cafe Instantaneo;Mantequilla;Pan Molde;;;;
Pan Molde;Pan;Mermelada;Yogur;Leche;;;;;;
Pan;Dulce de leche;Mermelada;;;;;;;;
Pan;Mermelada;Azucar;Mantequilla;Pan Molde;;;;;;
Jamon;Mermelada;Cafe Instantaneo;;;;;;;;
Pan Molde;Yogur;Mantequilla;Pan;Queso;Azucar;;;;;
Mermelada;Yogur;Leche;Dulce de leche;Pan;Azucar;Cafe Instantaneo;;;;
Leche;Dulce de leche;Pan Molde;Mermelada;;;;;;;
Leche;Cafe Instantaneo;Mermelada;Azucar;Yogur;;;;;;
Yogur;Pan Molde;Mantequilla;Azucar;Pan;;;;;;
Yogur;Dulce de leche;Te en bolsa;;;;;;;;
Cafe Instantaneo;Pan;Azucar;Pan Molde;Te en bolsa;Mermelada;Dulce de leche;Leche;;;
Queso;Te en bolsa;Cafe Instantaneo;Azucar;Leche;Dulce de leche;Mermelada;Mantequilla;;;
Jamon;Yogur;Queso;Leche;Pan Molde;Te en bolsa;;;;;
Pan;Azucar;Mermelada;;;;;;;;
Mermelada;Pan Molde;Cafe Instantaneo;Jamon;Leche;Dulce de leche;;;;;
Cafe Instantaneo;Jamon;Te en bolsa;Yogur;Pan;Pan Molde;;;;;
Yogur;Leche;Te en bolsa;Azucar;Cafe Instantaneo;Dulce de leche;;;;;
Dulce de leche;Jamon;Mermelada;Mantequilla;Azucar;Te en bolsa;Leche;Cafe Instantaneo;;;
Mermelada;Cafe Instantaneo;Queso;Jamon;Yogur;Te en bolsa;;;;;
Mermelada;Azucar;Pan;;;;;;;;
Jamon;Azucar;Cafe Instantaneo;Yogur;Dulce de leche;Mantequilla;Leche;Pan;;;
Pan;Yogur;Jamon;Cafe Instantaneo;Mermelada;Mantequilla;Queso;Leche;Te en bolsa;;
Queso;Azucar;Cafe Instantaneo;Mantequilla;Pan Molde;Dulce de leche;;;;;
Pan Molde;Cafe Instantaneo;Queso;Yogur;Te en bolsa;Azucar;;;;;
Queso;Yogur;Pan Molde;Pan;Mermelada;Dulce de leche;Jamon;Cafe Instantaneo;;;
Jamon;Dulce de leche;Pan;Mermelada;Cafe Instantaneo;Yogur;;;;;
Pan;Jamon;Yogur;;;;;;;;
Cafe Instantaneo;Pan;Dulce de leche;Pan Molde;Mantequilla;Jamon;Te en bolsa;;;;
Cafe Instantaneo;Mermelada;Pan;;;;;;;;
Queso;Dulce de leche;Azucar;Pan Molde;Mermelada;Jamon;;;;;
Yogur;Dulce de leche;Mantequilla;Mermelada;;;;;;;
Yogur;Azucar;Cafe Instantaneo;Dulce de leche;Te en bolsa;Pan Molde;;;;;
Queso;Pan Molde;Mantequilla;Yogur;Cafe Instantaneo;Dulce de leche;Azucar;Pan;;;
Te en bolsa;Mantequilla;Dulce de leche;Yogur;Azucar;Pan Molde;Queso;Mermelada;;;
Mermelada;Queso;;;;;;;;;
Queso;Pan Molde;Yogur;Azucar;Te en bolsa;;;;;;
Azucar;Queso;Cafe Instantaneo;Leche;Dulce de leche;Mermelada;;;;;
Jamon;Cafe Instantaneo;Yogur;Pan Molde;Dulce de leche;Mantequilla;;;;;
Queso;Mermelada;Cafe Instantaneo;;;;;;;;
Yogur;Leche;Mantequilla;Jamon;Queso;Dulce de leche;;;;;
Mantequilla;Yogur;Dulce de leche;Te en bolsa;Queso;Leche;;;;;
Pan;Te en bolsa;Mantequilla;Yogur;Dulce de leche;;;;;;
Yogur;Leche;Jamon;Pan;Dulce de leche;Queso;Mermelada;;;;
Pan;Queso;Jamon;Mermelada;Mantequilla;Pan Molde;Azucar;Yogur;;;
Yogur;Mermelada;Te en bolsa;Leche;Pan Molde;Dulce de leche;;;;;
Pan Molde;Te en bolsa;Mantequilla;Mermelada;Dulce de leche;Yogur;Azucar;Cafe Instantaneo;;;
Leche;Yogur;Dulce de leche;;;;;;;;
Leche;Mermelada;Cafe Instantaneo;Te en bolsa;Pan;Pan Molde;;;;;
Cafe Instantaneo;Queso;Jamon;Leche;Pan Molde;Azucar;Dulce de leche;Pan;;;
Azucar;Jamon;Mantequilla;Queso;Leche;Pan;Cafe Instantaneo;;;;
Mantequilla;Yogur;Cafe Instantaneo;Jamon;;;;;;;
Cafe Instantaneo;Pan Molde;Pan;Jamon;Mantequilla;Azucar;Leche;;;;
Dulce de leche;Mantequilla;Te en bolsa;Jamon;Cafe Instantaneo;;;;;;
Te en bolsa;Jamon;Pan Molde;Cafe Instantaneo;Mantequilla;Mermelada;Queso;Dulce de leche;Yogur;;
Mermelada;Jamon;Leche;Queso;;;;;;;
Yogur;Dulce de leche;Queso;Leche;Cafe Instantaneo;Azucar;;;;;
Mermelada;Te en bolsa;Pan;Azucar;Jamon;;;;;;
Queso;Leche;;;;;;;;;
Te en bolsa;Leche;Mermelada;;;;;;;;
Te en bolsa;Cafe Instantaneo;Pan Molde;Mantequilla;Queso;Pan;Jamon;Azucar;Mermelada;;
Yogur;Mermelada;Cafe Instantaneo;Pan;;;;;;;
Leche;Jamon;Pan;Te en bolsa;Cafe Instantaneo;Queso;Azucar;Yogur;;;
Pan Molde;Dulce de leche;Queso;Mantequilla;Cafe Instantaneo;Yogur;;;;;
Yogur;Queso;;;;;;;;;
Azucar;Pan;Cafe Instantaneo;Yogur;;;;;;;
Pan;Queso;Azucar;Dulce de leche;;;;;;;
Cafe Instantaneo;Azucar;Pan Molde;Mantequilla;Yogur;Queso;Mermelada;Dulce de leche;;;
Queso;Cafe Instantaneo;Mantequilla;Leche;Jamon;Mermelada;Pan Molde;;;;
Azucar;Mermelada;;;;;;;;;
Dulce de leche;Yogur;Jamon;Pan Molde;;;;;;;
Mantequilla;Dulce de leche;Queso;;;;;;;;
Jamon;Queso;Pan Molde;;;;;;;;
Yogur;Jamon;;;;;;;;;
Pan;Queso;Yogur;;;;;;;;
Mantequilla;Yogur;Pan Molde;;;;;;;;
Pan Molde;Pan;Mantequilla;Te en bolsa;;;;;;;
Cafe Instantaneo;Mermelada;;;;;;;;;
Yogur;Cafe Instantaneo;Jamon;Leche;;;;;;;
Leche;Cafe Instantaneo;;;;;;;;;
Mermelada;Pan;Pan Molde;Mantequilla;Cafe Instantaneo;Leche;Jamon;Yogur;Dulce de leche;;
Pan Molde;Mantequilla;Azucar;Queso;Yogur;Pan;;;;;
Mermelada;Jamon;Leche;Pan Molde;Pan;Yogur;Queso;Cafe Instantaneo;;;
Mantequilla;Cafe Instantaneo;Jamon;Dulce de leche;Yogur;;;;;;
